S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
1,Andhra Pradesh,Anantapur,"14.6819° N, 77.6006° E",107,7,2056,6597,984,4219,0,765,1208,715,22,1032,2,1933,844,52,5354,0,1134,1376,957,8185,710,15017
2,Andhra Pradesh,Chittoor,"24.8829° N, 74.6230° E",68,11,1568,4644,230,2519,0,378,1112,394,22,918,2,767,304,76,1185,0,0,1330,501,2427,6531,12697
3,Andhra Pradesh,Cuddapah,"14.4673° N, 78.8242° E",64,10,1576,3169,426,2136,0,1194,1054,318,12,783,0,547,258,84,1516,0,226,2604,630,3761,1209,8606
4,Andhra Pradesh,East Godavari,"17.3213° N, 82.0407° E",64,10,2311,5373,1021,4384,0,207,2090,522,28,1648,0,811,382,22,893,1,278,2364,1006,3382,172,9535
5,Andhra Pradesh,Guntakal Railway,"15.1753° N, 77.3667° E",2,1,8,39,10,27,0,0,598,0,5,304,0,2,1,0,0,0,0,0,4,4,19,355
6,Andhra Pradesh,Guntur,"16.3067° N, 80.4365° E",65,2,2094,6038,792,3767,0,156,1410,424,17,1045,4,1556,751,4,2077,0,19,1424,1930,4742,558,10587
7,Andhra Pradesh,Guntur Urban,"16.3067° N, 80.4365° E",38,2,1049,2089,540,1803,0,112,1432,366,29,1090,2,1652,755,14,3506,0,591,1204,879,5592,184,9159
8,Andhra Pradesh,Krishna,"16.6100° N, 80.7214° E",44,7,1217,5081,790,3099,0,83,1156,255,10,770,4,848,410,42,4798,0,206,1170,870,6501,1717,12222
9,Andhra Pradesh,Kurnool,"15.8281° N, 78.0373° E",89,9,2172,5430,896,3736,0,602,984,677,35,976,6,1324,656,86,2476,0,3079,1452,1346,7713,975,13996
10,Andhra Pradesh,Nellore,"14.4426° N, 79.9865° E",76,6,1798,4483,598,2892,0,89,946,585,19,966,0,608,284,110,82,0,0,1706,588,1633,2350,7880
11,Andhra Pradesh,Prakasham,"15.3485° N, 79.5603° E",65,12,1938,6536,721,3554,0,231,1210,548,31,1056,2,1042,495,36,3410,1,60,2372,1657,6351,1250,12588
12,Andhra Pradesh,Rajahmundry,"17.0005° N, 81.8040° E",27,2,452,1585,283,1134,0,17,1324,353,62,1088,2,463,223,0,1693,0,94,714,564,2708,336,5270
13,Andhra Pradesh,Srikakulam,"18.2949° N, 83.8938° E",24,10,917,3239,397,1854,0,203,338,200,3,356,0,314,126,13,56,0,339,1347,1197,2281,464,5033
14,Andhra Pradesh,Tirupathi Urban,"13.7070° N, 79.3578° E",20,2,661,1025,235,886,0,140,1084,375,26,808,0,1058,424,182,540,0,274,666,152,1481,2013,5556
15,Andhra Pradesh,Vijayawada City,"16.5062° N, 80.6480° E",44,0,957,2216,807,1936,0,45,2214,442,45,1592,6,1208,559,20,2978,0,66,1910,1357,5376,579,9710
16,Andhra Pradesh,Vijayawada Railway,"16.5187° N, 80.6200° E",1,0,6,36,2,26,0,0,994,0,1,498,0,7,3,0,42,0,0,0,4,46,1,568
17,Andhra Pradesh,Visakha Rural,"17.8035° N, 83.3531° E",36,7,1272,2017,346,1588,87,223,462,222,19,406,0,360,167,7,90,0,179,931,638,1380,969,4475
18,Andhra Pradesh,Visakhapatnam,"17.6868° N, 83.2185° E",41,2,1180,2556,1000,2355,0,91,1228,390,20,1057,6,1590,631,3,2039,0,11,7128,1358,6975,924,11590
19,Andhra Pradesh,Vizianagaram,"18.1067° N, 83.3956° E",27,4,925,2596,563,2000,3,43,654,259,11,539,2,461,186,9,517,0,19,1181,699,1835,1077,5307
20,Andhra Pradesh,West Godavari,"16.9174° N, 81.3399° E",54,8,1671,5006,717,3043,0,78,2164,841,23,1664,2,1478,715,0,6810,0,0,1700,963,8623,5565,19460
21,Arunachal Pradesh,Anjaw,"28.0360° N, 96.8351° E",0,0,11,18,4,14,0,0,14,1,0,8,0,2,1,0,0,0,0,0,2,2,5,29
22,Arunachal Pradesh,Changlang,"27.1355° N, 95.7364° E",6,0,26,9,6,67,0,0,46,29,2,49,0,10,5,0,0,0,0,6,0,3,11,106
23,Arunachal Pradesh,Crime Branch,,0,0,0,0,0,0,6,3,0,5,0,5,0,8,4,0,0,0,0,0,0,0,0,12
24,Arunachal Pradesh,Dibang Valley,"28.7313° N, 95.8987° E",0,0,0,12,2,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,12
25,Arunachal Pradesh,Kameng East,"27.6142° N, 92.8577° E",0,0,12,24,0,27,0,0,20,5,3,16,0,18,9,0,0,0,0,4,4,6,13,65
26,Arunachal Pradesh,Kameng West,"27.3428° N, 92.3024° E",4,0,45,27,10,49,0,3,64,21,1,44,0,30,15,0,0,0,0,20,2,12,30,140
27,Arunachal Pradesh,Kurung Kumey,"28.0738° N, 93.2584° E",2,0,0,21,5,15,0,0,6,4,0,7,0,10,5,0,0,0,0,4,4,6,6,36
28,Arunachal Pradesh,Lohit,"28.0682° N, 96.1527° E",1,0,30,9,12,50,0,3,26,22,0,26,0,10,5,0,0,0,0,18,4,13,15,90
29,Arunachal Pradesh,Longding,"26.8372° N, 95.3521° E",3,0,12,21,0,38,0,0,14,38,3,40,0,0,0,0,0,0,0,2,2,3,4,68
30,Arunachal Pradesh,Lower Dibang Valley,"28.0830° N, 95.8143° E",2,0,32,30,0,48,0,0,30,16,5,28,2,2,2,0,0,0,0,8,2,6,5,74
31,Arunachal Pradesh,Papum Pare City,"27.1318° N, 93.6176° E",9,0,49,330,47,371,0,12,910,97,32,557,0,73,36,0,14,0,0,106,123,190,31,1043
32,Arunachal Pradesh,Papum Pare Rural,"27.1170° N, 93.6098° E",2,0,37,39,2,49,0,0,82,22,5,58,0,22,11,0,0,0,0,0,1,1,37,140
33,Arunachal Pradesh,Siang East,"28.0550° N, 95.3521° E",1,1,58,48,11,81,0,0,64,22,4,53,0,26,13,0,0,0,0,18,5,14,43,176
34,Arunachal Pradesh,Siang Upper,"28.8613° N, 94.9767° E",2,0,16,24,6,21,0,0,16,16,0,16,0,2,1,0,0,0,0,0,1,1,12,50
35,Arunachal Pradesh,Siang West,"28.1783° N, 94.5212° E",2,0,5,48,17,45,0,0,14,2,0,12,0,10,5,0,0,0,0,10,5,10,1,61
36,Arunachal Pradesh,Subansiri Lower,"27.5910° N, 93.8248° E",0,1,0,33,2,19,0,0,12,12,0,15,0,2,1,0,3,0,0,10,3,11,10,51
37,Arunachal Pradesh,Subansiri Upper,"28.3349° N, 93.9878° E",1,0,13,51,0,33,0,0,30,11,0,23,0,10,5,0,0,0,0,10,6,11,6,71
38,Arunachal Pradesh,Tawang,"27.6325° N, 91.7539° E",2,0,9,9,4,16,0,0,2,4,0,3,0,4,2,0,0,0,0,4,0,2,3,22
39,Arunachal Pradesh,Tirap,"27.0186° N, 95.5197° E",1,0,2,3,6,9,0,0,22,33,1,41,0,8,4,0,0,0,0,2,2,3,11,66
40,Arunachal Pradesh,Namsai,"27.6692° N, 95.8644° E",5,1,29,33,0,48,0,3,24,40,4,37,0,3,1,0,0,0,0,20,3,13,4,95
41,Arunachal Pradesh,Siang,"28.5007° N, 94.6450° E",3,0,16,15,6,20,0,0,16,3,0,10,0,6,3,0,0,0,0,6,7,10,1,43
42,Arunachal Pradesh,Kamle,"23.5407° N, 84.7394° E",0,0,17,36,0,26,0,0,6,0,1,4,0,2,1,0,0,0,0,0,1,1,6,34
43,Arunachal Pradesh,Kra Dadi,"28.072° N, 95.325° E",0,0,16,3,2,12,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,4,16
44,Arunachal Pradesh,Lower Siang,"27.8016° N, 94.6037° E",3,0,6,21,2,22,0,0,40,3,2,23,0,6,3,0,1,0,0,8,3,8,13,63
45,Arunachal Pradesh,Leparada,27.98333°N 94.66667°E,0,0,10,24,7,19,0,0,12,2,0,7,0,4,2,0,0,0,0,0,3,3,2,30
46,Arunachal Pradesh,Shiyomi,"28.6979° N, 94.3154° E",0,0,9,6,0,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,1,2,10
47,Arunachal Pradesh,Pakkessang,"27.1459° N, 93.2463° E",0,0,3,6,8,11,0,0,12,2,0,7,0,3,1,0,0,0,0,2,3,4,2,23
48,Assam,BIEO,,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,9
49,Assam,Barpeta,"26.3304° N, 91.0041° E",48,41,509,2397,1494,4680,0,267,1504,624,82,1414,12,798,405,0,0,0,0,570,853,1138,1056,6796
50,Assam,Baksa,"26.6935° N, 91.5984° E",28,4,311,794,130,958,0,92,254,143,20,271,0,178,89,5,5,0,0,196,240,348,11,1389
51,Assam,Bongaigaon,"26.5030° N, 90.5536° E",18,6,193,1665,234,1572,0,27,764,295,71,640,4,358,181,0,0,0,0,278,336,475,613,2972
52,Assam,CID,,1,0,0,0,0,3,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,11
53,Assam,Cachar,"24.7821° N, 92.8577° E",52,0,312,5337,274,3823,0,984,1902,617,138,1762,2,248,125,0,0,0,0,694,645,992,1298,7291
54,Assam,Chirang,"26.5387° N, 90.6939° E",13,1,113,397,30,704,3,48,246,140,18,254,4,150,77,9,0,0,0,16,193,210,288,1236
